Fiscal Year,Month Ending,Licensee,Wagers,Patron Winnings,Cancelled Wagers,Online Casino Gaming Win/(Loss),Promotional Coupons or Credits Wagered (3),Promotional Deduction (4),Total Gross Gaming Revenue,Payment (5)
2022/23,11/30/2022 12:00:00 AM,"Mohegan Digital, LLC",390511890,378647440,49372,11815078,2055788,2055788,9759290,1756672
2022/23,10/31/2022 12:00:00 AM,Mohegan Tribe On-Reservation,861503,844043,0,17459,11813,3492,13967,2514
2022/23,10/31/2022 12:00:00 AM,MPTN On-Reservation,1120026,1123945,0,-3918,0,0,-3918,0
2022/23,10/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",589795481,573756382,327311,15711789,11853142,3142358,12569431,2262498
2022/23,10/31/2022 12:00:00 AM,"Mohegan Digital, LLC",383984265,372783691,12527,11188048,1883457,1883457,9304590,1674826
2022/23,09/30/2022 12:00:00 AM,Mohegan Tribe On-Reservation,943397,880896,20,62481,5150,5150,57332,10320
2022/23,09/30/2022 12:00:00 AM,MPTN On-Reservation,2402069,2367561,4,34504,98903,8626,25878,4658
2022/23,09/30/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",588426934,573481674,244014,14701246,15330683,3675312,11025935,1984668
2022/23,09/30/2022 12:00:00 AM,"Mohegan Digital, LLC",351739905,342247176,21551,9471179,1596941,1596941,7874238,1417363
2022/23,08/31/2022 12:00:00 AM,Mohegan Tribe On-Reservation,486688,486314,0,374,3889,94,281,51
2022/23,08/31/2022 12:00:00 AM,MPTN On-Reservation,2960102,2788031,0,172070,26909,26909,145161,26129
2022/23,08/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",449551138,436301993,166263,13082882,14217583,3270720,9812161,1766189
2022/23,08/31/2022 12:00:00 AM,"Mohegan Digital, LLC",398913099,390049865,20267,8842966,1074484,1074484,7768482,1398327
2022/23,07/31/2022 12:00:00 AM,Mohegan Tribe On-Reservation,482704,481729,7,968,7672,242,726,131
2022/23,07/31/2022 12:00:00 AM,MPTN On-Reservation,1155448,1140657,2,14789,72417,3697,11092,1997
2022/23,07/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",439413278,426592328,153909,12667042,17931564,3166760,9500281,1710051
2022/23,07/31/2022 12:00:00 AM,"Mohegan Digital, LLC",265653958,257512736,18833,8122389,979062,979062,7143327,1285799
2023/24,06/30/2024 12:00:00 AM,Mohegan Tribe On-Reservation,2210706,2163068,0,47638,20152,7146,40492,7289
2023/24,06/30/2024 12:00:00 AM,MPTN On-Reservation,2831236,2796891,52,34292,9100,5144,29148,5247
2023/24,06/30/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",708771431,687381605,895544,20494282,4129075,3074142,17420139,3135625
2023/24,06/30/2024 12:00:00 AM,"Mohegan Digital, LLC",534772602,515239057,485696,19047849,4390433,2857177,16190672,2914321
2023/24,05/31/2024 12:00:00 AM,Mohegan Tribe On-Reservation,1605437,1567452,5,37980,10302,5697,32283,5811
2023/24,05/31/2024 12:00:00 AM,MPTN On-Reservation,1563906,1512558,127,51221,11930,7683,43538,7837
2023/24,05/31/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",752954349,726763463,764875,25426010,4198571,3813902,21612109,3890180
2023/24,05/31/2024 12:00:00 AM,"Mohegan Digital, LLC",617153562,595462209,876998,20814355,4457553,3122153,17692202,3184596
2023/24,04/30/2024 12:00:00 AM,Mohegan Tribe On-Reservation,2134318,2099254,70,34994,5418,5249,29745,5354
2023/24,04/30/2024 12:00:00 AM,MPTN On-Reservation,2684434,2599409,158,84867,13642,12730,72137,12985
2023/24,04/30/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",766255540,742817997,612036,22825506,4051867,3423826,19401681,3492302
2023/24,04/30/2024 12:00:00 AM,"Mohegan Digital, LLC",566496347,547469258,488616,18538473,3439199,2780771,15757702,2836386
2023/24,03/31/2024 12:00:00 AM,Mohegan Tribe On-Reservation,4396937,4237017,230,159690,6707,6707,152983,27537
2023/24,03/31/2024 12:00:00 AM,MPTN On-Reservation,2623223,2591486,150,31587,10888,4738,26849,4833
2023/24,03/31/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",725523687,701918952,897425,22707310,3535719,3406096,19301213,3474218
2023/24,03/31/2024 12:00:00 AM,"Mohegan Digital, LLC",614086525,591957529,729642,21399355,4260377,3209903,18189451,3274101
2023/24,02/29/2024 12:00:00 AM,Mohegan Tribe On-Reservation,3483266,3486042,4,-2780,9121,0,-2780,0
2023/24,02/29/2024 12:00:00 AM,MPTN On-Reservation,2900252,2809487,367,90397,13335,13335,77062,13871
2023/24,02/29/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",689790059,663415859,846510,25527691,3839598,3829154,21698537,3905737
2023/24,02/29/2024 12:00:00 AM,"Mohegan Digital, LLC",572631829,553470654,1066352,18094823,3640578,2714224,15380600,2768508
2023/24,01/31/2024 12:00:00 AM,Mohegan Tribe On-Reservation,1080286,1089531,5,-9250,4061,0,-9250,0
2023/24,01/31/2024 12:00:00 AM,MPTN On-Reservation,5211293,5179212,645,31437,9654,4716,26721,4810
2023/24,01/31/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",713600263,689099205,668812,23832246,3940570,3574837,20257409,3646334
2023/24,01/31/2024 12:00:00 AM,"Mohegan Digital, LLC",529412886,510838416,933562,17640908,3937302,2646136,14994772,2699059
2023/24,12/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,1490817,1426651,3,64163,11967,9624,54539,9817
2023/24,12/31/2023 12:00:00 AM,MPTN On-Reservation,1813702,1765647,342,47714,16259,7157,40557,7300
2023/24,12/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",760237364,734978333,520377,24738654,1923080,1923080,22815574,4106803
2023/24,12/31/2023 12:00:00 AM,"Mohegan Digital, LLC",523430887,503136549,896969,19397370,5519074,2909606,16487765,2967798
2023/24,11/30/2023 12:00:00 AM,Mohegan Tribe On-Reservation,920731,857122,206,63402,5552,5552,57850,10413
2023/24,11/30/2023 12:00:00 AM,MPTN On-Reservation,1852167,1761847,251,90070,14023,13510,76559,13781
2023/24,11/30/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",755869987,732568673,362862,22938452,3849518,3440768,19497684,3509583
2023/24,11/30/2023 12:00:00 AM,"Mohegan Digital, LLC",467725627,451881455,462463,15381710,2567645,2307256,13074453,2353402
2023/24,10/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,1022631,1004694,1,17936,5822,2690,15246,2744
2023/24,10/31/2023 12:00:00 AM,MPTN On-Reservation,1473026,1455056,2,17968,18771,2695,15273,2749
2023/24,10/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",688387869,665937579,372047,22078243,4263461,3311736,18766507,3377971
2023/24,10/31/2023 12:00:00 AM,"Mohegan Digital, LLC",458828014,444458600,26724,14342690,1971655,1971655,12371035,2226786
2023/24,09/30/2023 12:00:00 AM,Mohegan Tribe On-Reservation,793925,748779,3,45144,6072,6072,39072,7033
2023/24,09/30/2023 12:00:00 AM,MPTN On-Reservation,3815194,3794364,2,20827,18491,4165,16662,2999
2023/24,09/30/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",673789871,651944928,343686,21501257,4163625,4163625,17337632,3120774
2023/24,09/30/2023 12:00:00 AM,"Mohegan Digital, LLC",446166587,430102945,26219,16037423,3059042,3059042,12978381,2336109
2023/24,08/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,838553,791128,0,47425,6305,6305,41120,7402
2023/24,08/31/2023 12:00:00 AM,MPTN On-Reservation,1109705,1104058,0,5647,6440,1129,4517,813
2023/24,08/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",586257887,568619789,400245,17237853,4105880,3447571,13790282,2482251
2023/24,08/31/2023 12:00:00 AM,"Mohegan Digital, LLC",397146535,383054920,188323,13903293,3306175,2780659,11122634,2002074
2023/24,07/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,791492,755193,0,36299,7442,7260,29039,5227
2023/24,07/31/2023 12:00:00 AM,MPTN On-Reservation,2189931,2119885,7,70039,10625,10625,59414,10694
2023/24,07/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",733380549,717657428,311610,15411512,3605499,3082302,12329209,2219258
2023/24,07/31/2023 12:00:00 AM,"Mohegan Digital, LLC",404293820,391597298,19748,12676774,3387558,2535355,10141419,1825455
2024/25,11/30/2024 12:00:00 AM,Mohegan Tribe On-Reservation,2688033,2536713,317,151003,26249,22650,128352,23103
2024/25,11/30/2024 12:00:00 AM,MPTN On-Reservation,2976497,2908097,255,68145,18086,10222,57924,10426
2024/25,11/30/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",769608621,743861432,869519,24877670,4805065,3731650,21146019,3806283
2024/25,11/30/2024 12:00:00 AM,"Mohegan Digital, LLC",664978530,640579070,624858,23774603,5389704,3566190,20208412,3637514
2024/25,10/31/2024 12:00:00 AM,Mohegan Tribe On-Reservation,2813329,2795881,31,17418,21741,2613,14805,2665
2024/25,10/31/2024 12:00:00 AM,MPTN On-Reservation,2628915,2558139,485,70290,11325,10544,59747,10754
2024/25,10/31/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",783884226,757317634,862159,25704433,5638382,3855665,21848768,3932778
2024/25,10/31/2024 12:00:00 AM,"Mohegan Digital, LLC",700733184,678077232,443959,22211993,5064947,3331799,18880194,3398435
2024/25,09/30/2024 12:00:00 AM,Mohegan Tribe On-Reservation,3875421,3956409,1,-80990,12942,0,-80990,0
2024/25,09/30/2024 12:00:00 AM,MPTN On-Reservation,3178156,3000618,52,177486,20193,20193,157294,28313
2024/25,09/30/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",764459406,740303938,1133136,23022332,5343511,3453350,19568982,3522417
2024/25,09/30/2024 12:00:00 AM,"Mohegan Digital, LLC",596145912,575192724,493486,20459703,4992878,3068955,17390747,3130334
2024/25,08/31/2024 12:00:00 AM,Mohegan Tribe On-Reservation,2616343,2550614,104,65625,25250,9844,55782,10041
2024/25,08/31/2024 12:00:00 AM,MPTN On-Reservation,2526930,2416645,219,110066,33403,16510,93556,16840
2024/25,08/31/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",679135073,654186526,675030,24273517,4501942,3641028,20632490,3713848
2024/25,08/31/2024 12:00:00 AM,"Mohegan Digital, LLC",552906853,532307920,468730,20130203,4098131,3019530,17110672,3079921
2024/25,07/31/2024 12:00:00 AM,Mohegan Tribe On-Reservation,3543119,3410769,132,132219,20758,19833,112386,20229
2024/25,07/31/2024 12:00:00 AM,MPTN On-Reservation,3199509,3072580,265,126663,15071,15071,111592,20087
2024/25,07/31/2024 12:00:00 AM,"MPI Master Wagering License CT, LLC",692210181,668971512,697914,22540755,4284383,3381113,19159642,3448735
2024/25,07/31/2024 12:00:00 AM,"Mohegan Digital, LLC",535796500,516077716,561709,19157075,4411186,2873561,16283514,2931033
